seed,preference_scenario,weather_scenario,group,agent_count,successful_legs,ride_hailing_requests,successful_ride_hailing_requests,failed_ride_hailing_requests,ride_hailing_requests_per_100_agents,ride_hailing_mode_share,mean_ride_hailing_wait_minutes,necessary_activity_completion_rate,transport_related_unmet,total_outdoor_exposure_minutes,total_heat_risk_burden,metro_legs,bus_metro_transfer_legs,bus_metro_transfer_share_of_metro,exposed_travel_required_necessary_activities,completed_exposed_travel_required_necessary_activities,exposed_travel_required_necessary_completion_rate,exposed_necessary_ride_hailing_legs,exposed_necessary_ride_hailing_mode_share,exposed_necessary_outdoor_exposure_minutes,exposed_necessary_heat_risk_burden,exposed_necessary_rain_exposure_minutes,exposed_necessary_bus_metro_transfer_legs,exposed_necessary_bus_metro_transfer_share
55,J_final_candidate,W2,40-59,66,130,13,13,0,19.69697,0.1,11.31001,0.920635,0,2733.004,0.0,69,41,0.594203,57,53,0.929825,11,0.099099,2330.913,0.0,1675.325875,34,0.306306
55,J_final_candidate,W2,60+,54,67,4,4,0,7.407407,0.059701,12.0,1.0,0,1192.292,0.0,13,7,0.538462,5,5,1.0,0,0.0,178.531,0.0,132.642,1,0.1
55,J_final_candidate,W2,60+_digital,26,31,4,4,0,15.384615,0.129032,12.0,1.0,0,570.826,0.0,8,5,0.625,0,0,,0,,0,0,0,0,
55,J_final_candidate,W2,60+_nondigital_assisted,17,24,0,0,0,0.0,0.0,,1.0,0,409.363,0.0,3,1,0.333333,3,3,1.0,0,0.0,97.928,0.0,82.928,0,0.0
55,J_final_candidate,W2,60+_nondigital_unassisted,11,12,0,0,0,0.0,0.0,,1.0,0,212.103,0.0,2,1,0.5,2,2,1.0,0,0.0,80.603,0.0,49.714,1,0.25
55,J_final_candidate,W2,60+_medical_low,15,19,0,0,0,0.0,0.0,,1.0,0,346.688,0.0,5,3,0.6,3,3,1.0,0,0.0,111.317,0.0,102.428,1,0.166667
55,J_final_candidate,W2,60+_medical_standard,34,42,4,4,0,11.764706,0.095238,12.0,1.0,0,748.604,0.0,8,4,0.5,2,2,1.0,0,0.0,67.214,0.0,30.214,0,0.0
55,J_final_candidate,W2,60+_medical_high,5,6,0,0,0,0.0,0.0,,1.0,0,97.0,0.0,0,0,,0,0,,0,,0,0,0,0,
55,J_final_candidate,W2,60+_digital_medical_low,3,2,0,0,0,0.0,0.0,,,0,50.214,0.0,1,1,1.0,0,0,,0,,0,0,0,0,
55,J_final_candidate,W2,60+_digital_medical_standard,22,27,4,4,0,18.181818,0.148148,12.0,1.0,0,483.612,0.0,7,4,0.571429,0,0,,0,,0,0,0,0,
