preference_scenario,weather_scenario,metric,seed_count,mean,std_dev,minimum,maximum,group
J_final_candidate,W0,total_outdoor_exposure_minutes,10,501.1766,129.1444,310.3,737.18,60+_medical_low
J_final_candidate,W0,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,60+_medical_low
J_final_candidate,W0,exposed_travel_required_necessary_activities,10,0.0,0.0,0.0,0.0,60+_medical_low
J_final_candidate,W0,completed_exposed_travel_required_necessary_activities,10,0.0,0.0,0.0,0.0,60+_medical_low
J_final_candidate,W0,exposed_necessary_ride_hailing_legs,10,0.0,0.0,0.0,0.0,60+_medical_low
J_final_candidate,W0,exposed_necessary_outdoor_exposure_minutes,10,0.0,0.0,0.0,0.0,60+_medical_low
J_final_candidate,W0,exposed_necessary_heat_risk_burden,10,0.0,0.0,0.0,0.0,60+_medical_low
J_final_candidate,W0,exposed_necessary_rain_exposure_minutes,10,0.0,0.0,0.0,0.0,60+_medical_low
J_final_candidate,W0,metro_legs,10,3.4,1.173788,2.0,6.0,60+_medical_low
J_final_candidate,W0,bus_metro_transfer_legs,10,1.3,0.483046,1.0,2.0,60+_medical_low
J_final_candidate,W0,bus_metro_transfer_share_of_metro,10,0.408333,0.14933,0.166667,0.666667,60+_medical_low
J_final_candidate,W0,exposed_necessary_bus_metro_transfer_legs,10,0.0,0.0,0.0,0.0,60+_medical_low
J_final_candidate,W0,agent_count,10,29.8,4.263541,23.0,35.0,60+_medical_standard
J_final_candidate,W0,successful_legs,10,42.3,9.405081,33.0,66.0,60+_medical_standard
J_final_candidate,W0,ride_hailing_requests,10,0.9,0.994429,0.0,3.0,60+_medical_standard
J_final_candidate,W0,successful_ride_hailing_requests,10,0.9,0.994429,0.0,3.0,60+_medical_standard
J_final_candidate,W0,failed_ride_hailing_requests,10,0.0,0.0,0.0,0.0,60+_medical_standard
J_final_candidate,W0,ride_hailing_requests_per_100_agents,10,2.998279,3.074898,0.0,8.571429,60+_medical_standard
J_final_candidate,W0,ride_hailing_mode_share,10,0.020132,0.019115,0.0,0.04878,60+_medical_standard
J_final_candidate,W0,mean_ride_hailing_wait_minutes,6,9.055556,1.794023,7.0,12.0,60+_medical_standard
J_final_candidate,W0,necessary_activity_completion_rate,10,1.0,0.0,1.0,1.0,60+_medical_standard
J_final_candidate,W0,transport_related_unmet,10,0.0,0.0,0.0,0.0,60+_medical_standard
J_final_candidate,W0,total_outdoor_exposure_minutes,10,761.2802,159.308512,608.287,1143.157,60+_medical_standard
J_final_candidate,W0,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,60+_medical_standard
J_final_candidate,W0,exposed_travel_required_necessary_activities,10,0.0,0.0,0.0,0.0,60+_medical_standard
J_final_candidate,W0,completed_exposed_travel_required_necessary_activities,10,0.0,0.0,0.0,0.0,60+_medical_standard
J_final_candidate,W0,exposed_necessary_ride_hailing_legs,10,0.0,0.0,0.0,0.0,60+_medical_standard
J_final_candidate,W0,exposed_necessary_outdoor_exposure_minutes,10,0.0,0.0,0.0,0.0,60+_medical_standard
J_final_candidate,W0,exposed_necessary_heat_risk_burden,10,0.0,0.0,0.0,0.0,60+_medical_standard
J_final_candidate,W0,exposed_necessary_rain_exposure_minutes,10,0.0,0.0,0.0,0.0,60+_medical_standard
J_final_candidate,W0,metro_legs,10,4.9,1.197219,3.0,7.0,60+_medical_standard
J_final_candidate,W0,bus_metro_transfer_legs,10,1.5,0.849837,1.0,3.0,60+_medical_standard
J_final_candidate,W0,bus_metro_transfer_share_of_metro,10,0.31119,0.174094,0.166667,0.75,60+_medical_standard
J_final_candidate,W0,exposed_necessary_bus_metro_transfer_legs,10,0.0,0.0,0.0,0.0,60+_medical_standard
J_final_candidate,W0,agent_count,10,19.4,2.065591,17.0,23.0,60+_nondigital_assisted
J_final_candidate,W0,successful_legs,10,28.5,6.346478,21.0,38.0,60+_nondigital_assisted
J_final_candidate,W0,ride_hailing_requests,10,0.4,0.516398,0.0,1.0,60+_nondigital_assisted
J_final_candidate,W0,successful_ride_hailing_requests,10,0.4,0.516398,0.0,1.0,60+_nondigital_assisted
J_final_candidate,W0,failed_ride_hailing_requests,10,0.0,0.0,0.0,0.0,60+_nondigital_assisted
J_final_candidate,W0,ride_hailing_requests_per_100_agents,10,1.957052,2.532834,0.0,5.263158,60+_nondigital_assisted
J_final_candidate,W0,ride_hailing_mode_share,10,0.012953,0.017729,0.0,0.047619,60+_nondigital_assisted
J_final_candidate,W0,mean_ride_hailing_wait_minutes,4,11.16675,3.666773,6.0,14.667,60+_nondigital_assisted
J_final_candidate,W0,necessary_activity_completion_rate,10,1.0,0.0,1.0,1.0,60+_nondigital_assisted
J_final_candidate,W0,transport_related_unmet,10,0.0,0.0,0.0,0.0,60+_nondigital_assisted
J_final_candidate,W0,total_outdoor_exposure_minutes,10,517.958,121.506084,390.065,730.63,60+_nondigital_assisted
J_final_candidate,W0,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,60+_nondigital_assisted
J_final_candidate,W0,exposed_travel_required_necessary_activities,10,0.0,0.0,0.0,0.0,60+_nondigital_assisted
J_final_candidate,W0,completed_exposed_travel_required_necessary_activities,10,0.0,0.0,0.0,0.0,60+_nondigital_assisted
J_final_candidate,W0,exposed_necessary_ride_hailing_legs,10,0.0,0.0,0.0,0.0,60+_nondigital_assisted
J_final_candidate,W0,exposed_necessary_outdoor_exposure_minutes,10,0.0,0.0,0.0,0.0,60+_nondigital_assisted
J_final_candidate,W0,exposed_necessary_heat_risk_burden,10,0.0,0.0,0.0,0.0,60+_nondigital_assisted
J_final_candidate,W0,exposed_necessary_rain_exposure_minutes,10,0.0,0.0,0.0,0.0,60+_nondigital_assisted
J_final_candidate,W0,metro_legs,10,2.5,1.080123,1.0,5.0,60+_nondigital_assisted
J_final_candidate,W0,bus_metro_transfer_legs,10,0.7,0.948683,0.0,2.0,60+_nondigital_assisted
J_final_candidate,W0,bus_metro_transfer_share_of_metro,10,0.256667,0.364489,0.0,1.0,60+_nondigital_assisted
J_final_candidate,W0,exposed_necessary_bus_metro_transfer_legs,10,0.0,0.0,0.0,0.0,60+_nondigital_assisted
J_final_candidate,W0,agent_count,10,8.6,2.065591,5.0,11.0,60+_nondigital_unassisted
J_final_candidate,W0,successful_legs,10,12.5,3.100179,6.0,18.0,60+_nondigital_unassisted
J_final_candidate,W0,ride_hailing_requests,10,0.0,0.0,0.0,0.0,60+_nondigital_unassisted
J_final_candidate,W0,successful_ride_hailing_requests,10,0.0,0.0,0.0,0.0,60+_nondigital_unassisted
J_final_candidate,W0,failed_ride_hailing_requests,10,0.0,0.0,0.0,0.0,60+_nondigital_unassisted
J_final_candidate,W0,ride_hailing_requests_per_100_agents,10,0.0,0.0,0.0,0.0,60+_nondigital_unassisted
J_final_candidate,W0,ride_hailing_mode_share,10,0.0,0.0,0.0,0.0,60+_nondigital_unassisted
J_final_candidate,W0,necessary_activity_completion_rate,7,1.0,0.0,1.0,1.0,60+_nondigital_unassisted
J_final_candidate,W0,transport_related_unmet,10,0.0,0.0,0.0,0.0,60+_nondigital_unassisted
J_final_candidate,W0,total_outdoor_exposure_minutes,10,223.6919,58.01035,104.514,301.071,60+_nondigital_unassisted
J_final_candidate,W0,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,60+_nondigital_unassisted
J_final_candidate,W0,exposed_travel_required_necessary_activities,10,0.0,0.0,0.0,0.0,60+_nondigital_unassisted
J_final_candidate,W0,completed_exposed_travel_required_necessary_activities,10,0.0,0.0,0.0,0.0,60+_nondigital_unassisted
J_final_candidate,W0,exposed_necessary_ride_hailing_legs,10,0.0,0.0,0.0,0.0,60+_nondigital_unassisted
J_final_candidate,W0,exposed_necessary_outdoor_exposure_minutes,10,0.0,0.0,0.0,0.0,60+_nondigital_unassisted
J_final_candidate,W0,exposed_necessary_heat_risk_burden,10,0.0,0.0,0.0,0.0,60+_nondigital_unassisted
J_final_candidate,W0,exposed_necessary_rain_exposure_minutes,10,0.0,0.0,0.0,0.0,60+_nondigital_unassisted
J_final_candidate,W0,metro_legs,10,1.2,1.135292,0.0,3.0,60+_nondigital_unassisted
J_final_candidate,W0,bus_metro_transfer_legs,10,0.5,0.707107,0.0,2.0,60+_nondigital_unassisted
J_final_candidate,W0,bus_metro_transfer_share_of_metro,6,0.361111,0.287067,0.0,0.666667,60+_nondigital_unassisted
J_final_candidate,W0,exposed_necessary_bus_metro_transfer_legs,10,0.0,0.0,0.0,0.0,60+_nondigital_unassisted
J_final_candidate,W1,agent_count,10,80.0,0.0,80.0,80.0,18-39
