leg_id,agent_id,date,day,leg_role,activity_id,purpose,origin_zone,destination_zone,departure_time,final_attempt_departure_time,primary_mode,primary_failed,primary_failure_reason,fallback_attempted,fallback_succeeded,final_mode,transport_succeeded,wait_minutes,failed_attempt_consumed_minutes,cumulative_wait_minutes,access_time_min,transfer_time_min,in_vehicle_time_min,total_travel_time_min,fare_yuan,final_speed_kmh,scenario_vc,weather_type_at_departure,weather_scenario,day_type,policy,outdoor_exposure_minutes,heat_hazard_dose_c_min,age_vulnerability_weight,heat_risk_burden,rain_exposure_minutes
21-2026-07-07-L01,21,2026-07-07,Tuesday,outbound,activity-21-2026-07-07-002,work,Z9,Z6,2026-07-07 09:05:00,2026-07-07 09:05:00,bus,False,,False,False,bus,True,12.837,0.0,12.837,23.0,0.0,97.849,133.685,2.0,16.552,0.764444,normal,W0,workday,P0_no_policy,35.837,0.0,1.1,0.0,0.0
21-2026-07-07-L02,21,2026-07-07,Tuesday,return_home,activity-21-2026-07-07-002,return_home,Z6,Z9,2026-07-07 19:30:00,2026-07-07 19:30:00,bus,False,,False,False,bus,True,7.131,0.0,7.131,23.0,0.0,90.246,120.377,2.0,17.947,0.762484,normal,W0,workday,P0_no_policy,30.131,0.0,1.1,0.0,0.0
22-2026-07-07-L01,22,2026-07-07,Tuesday,outbound,activity-22-2026-07-07-002,work,Z5,Z7,2026-07-07 07:30:00,2026-07-07 07:30:00,metro,False,,False,False,metro,True,4.817,0.0,4.817,13.0,0.0,29.362,47.179,5.0,35.0,,normal,W0,workday,P0_no_policy,17.817,0.0,1.1,0.0,0.0
22-2026-07-07-L02,22,2026-07-07,Tuesday,return_home,activity-22-2026-07-07-002,return_home,Z7,Z5,2026-07-07 17:00:00,2026-07-07 17:00:00,metro,False,,False,False,metro,True,3.04,0.0,3.04,13.0,0.0,29.362,45.402,5.0,35.0,,normal,W0,workday,P0_no_policy,16.04,0.0,1.1,0.0,0.0
24-2026-07-07-L01,24,2026-07-07,Tuesday,outbound,activity-24-2026-07-07-002,work,Z7,Z4,2026-07-07 08:35:00,2026-07-07 08:35:00,metro,False,,False,False,metro,True,4.5,0.0,4.5,13.0,0.0,28.019,45.519,5.0,35.0,,normal,W0,workday,P0_no_policy,17.5,0.0,1.1,0.0,0.0
24-2026-07-07-L02,24,2026-07-07,Tuesday,return_home,activity-24-2026-07-07-002,return_home,Z4,Z7,2026-07-07 19:30:00,2026-07-07 19:30:00,metro,False,,False,False,metro,True,3.84,0.0,3.84,13.0,0.0,28.019,44.859,5.0,35.0,,normal,W0,workday,P0_no_policy,16.84,0.0,1.1,0.0,0.0
25-2026-07-07-L01,25,2026-07-07,Tuesday,outbound,activity-25-2026-07-07-002,work,Z7,Z7,2026-07-07 07:45:00,2026-07-07 07:45:00,bus,False,,False,False,bus,True,4.333,0.0,4.333,12.0,0.0,54.963,71.296,2.0,15.1,0.913333,normal,W0,workday,P0_no_policy,16.333,0.0,1.1,0.0,0.0
25-2026-07-07-L02,25,2026-07-07,Tuesday,return_home,activity-25-2026-07-07-002,return_home,Z7,Z7,2026-07-07 17:30:00,2026-07-07 17:30:00,bus,False,,False,False,bus,True,4.0,0.0,4.0,12.0,0.0,55.292,71.292,2.0,15.01,0.945,normal,W0,workday,P0_no_policy,16.0,0.0,1.1,0.0,0.0
26-2026-07-07-L01,26,2026-07-07,Tuesday,outbound,activity-26-2026-07-07-002,work,Z8,Z3,2026-07-07 08:35:00,2026-07-07 08:35:00,metro,False,,False,False,metro,True,5.4,0.0,5.4,13.0,9.687,43.394,71.481,5.0,35.0,,normal,W0,workday,P0_no_policy,18.4,0.0,1.1,0.0,0.0
26-2026-07-07-L02,26,2026-07-07,Tuesday,return_home,activity-26-2026-07-07-002,return_home,Z3,Z8,2026-07-07 19:30:00,2026-07-07 19:30:00,metro,False,,False,False,metro,True,3.2,0.0,3.2,13.0,8.682,43.394,68.276,5.0,35.0,,normal,W0,workday,P0_no_policy,16.2,0.0,1.1,0.0,0.0
27-2026-07-07-L01,27,2026-07-07,Tuesday,outbound,activity-27-2026-07-07-003,work,Z3,Z1,2026-07-07 07:30:00,2026-07-07 07:30:00,metro,False,,False,False,metro,True,3.0,0.0,3.0,10.0,0.0,13.092,26.092,4.0,35.0,,normal,W0,workday,P0_no_policy,13.0,0.0,1.1,0.0,0.0
27-2026-07-07-L02,27,2026-07-07,Tuesday,return_home,activity-27-2026-07-07-003,return_home,Z1,Z3,2026-07-07 17:00:00,2026-07-07 17:00:00,metro,False,,False,False,metro,True,3.0,0.0,3.0,10.0,0.0,13.092,26.092,4.0,35.0,,normal,W0,workday,P0_no_policy,13.0,0.0,1.1,0.0,0.0
28-2026-07-07-L01,28,2026-07-07,Tuesday,outbound,activity-28-2026-07-07-002,work,Z4,Z7,2026-07-07 08:35:00,2026-07-07 08:35:00,metro,False,,False,False,metro,True,6.048,0.0,6.048,13.0,0.0,28.019,47.067,5.0,35.0,,normal,W0,workday,P0_no_policy,19.048,0.0,1.1,0.0,0.0
28-2026-07-07-L02,28,2026-07-07,Tuesday,return_home,activity-28-2026-07-07-002,return_home,Z7,Z4,2026-07-07 17:30:00,2026-07-07 17:30:00,metro,False,,False,False,metro,True,3.809,0.0,3.809,13.0,0.0,28.019,44.828,5.0,35.0,,normal,W0,workday,P0_no_policy,16.809,0.0,1.1,0.0,0.0
29-2026-07-07-L01,29,2026-07-07,Tuesday,outbound,activity-29-2026-07-07-002,work,Z6,Z6,2026-07-07 09:20:00,2026-07-07 09:20:00,bus,False,,False,False,bus,True,6.857,0.0,6.857,18.0,0.0,47.774,72.632,2.0,15.337,0.684444,normal,W0,workday,P0_no_policy,24.857,0.0,1.1,0.0,0.0
29-2026-07-07-L02,29,2026-07-07,Tuesday,return_home,activity-29-2026-07-07-002,return_home,Z6,Z6,2026-07-07 19:00:00,2026-07-07 19:00:00,bus,False,,False,False,bus,True,6.857,0.0,6.857,18.0,0.0,46.149,71.007,2.0,15.877,0.681928,normal,W0,workday,P0_no_policy,24.857,0.0,1.1,0.0,0.0
3-2026-07-07-L01,3,2026-07-07,Tuesday,outbound,activity-3-2026-07-07-002,work,Z2,Z3,2026-07-07 08:05:00,2026-07-07 08:05:00,metro,False,,False,False,metro,True,4.5,0.0,4.5,10.0,10.0,25.986,50.486,4.0,35.0,,normal,W0,workday,P0_no_policy,14.5,0.0,1.0,0.0,0.0
3-2026-07-07-L02,3,2026-07-07,Tuesday,return_home,activity-3-2026-07-07-002,return_home,Z3,Z2,2026-07-07 17:00:00,2026-07-07 17:00:00,metro,False,,False,False,metro,True,3.0,0.0,3.0,10.0,8.692,25.986,47.678,4.0,35.0,,normal,W0,workday,P0_no_policy,13.0,0.0,1.0,0.0,0.0
30-2026-07-07-L01,30,2026-07-07,Tuesday,outbound,activity-30-2026-07-07-003,work,Z1,Z3,2026-07-07 08:30:00,2026-07-07 08:30:00,metro,False,,False,False,metro,True,4.5,0.0,4.5,10.0,0.0,13.092,27.592,4.0,35.0,,normal,W0,workday,P0_no_policy,14.5,0.0,1.1,0.0,0.0
30-2026-07-07-L02,30,2026-07-07,Tuesday,between_activities,activity-30-2026-07-07-004,shopping,Z3,Z1,2026-07-07 19:00:00,2026-07-07 19:00:00,metro,False,,False,False,metro,True,3.2,0.0,3.2,10.0,0.0,13.092,26.292,4.0,35.0,,normal,W0,workday,P0_no_policy,13.2,0.0,1.1,0.0,0.0
30-2026-07-07-L03,30,2026-07-07,Tuesday,return_home,activity-30-2026-07-07-004,return_home,Z1,Z1,2026-07-07 20:00:00,2026-07-07 20:00:00,bus,False,,False,False,bus,True,11.0,0.0,11.0,12.0,0.0,11.175,34.175,2.0,17.996,0.313333,normal,W0,workday,P0_no_policy,23.0,0.0,1.1,0.0,0.0
31-2026-07-07-L01,31,2026-07-07,Tuesday,outbound,activity-31-2026-07-07-002,work,Z2,Z1,2026-07-07 09:30:00,2026-07-07 09:30:00,metro,False,,False,False,metro,True,3.2,0.0,3.2,10.0,0.0,12.894,26.094,4.0,35.0,,normal,W0,workday,P0_no_policy,13.2,0.0,1.1,0.0,0.0
31-2026-07-07-L02,31,2026-07-07,Tuesday,return_home,activity-31-2026-07-07-002,return_home,Z1,Z2,2026-07-07 20:00:00,2026-07-07 20:00:00,metro,False,,False,False,metro,True,6.0,0.0,6.0,10.0,0.0,12.894,28.894,4.0,35.0,,normal,W0,workday,P0_no_policy,16.0,0.0,1.1,0.0,0.0
32-2026-07-07-L01,32,2026-07-07,Tuesday,outbound,activity-32-2026-07-07-002,work,Z3,Z2,2026-07-07 07:35:00,2026-07-07 07:35:00,metro,False,,False,False,metro,True,3.0,0.0,3.0,10.0,9.076,25.986,48.062,4.0,35.0,,normal,W0,workday,P0_no_policy,13.0,0.0,1.1,0.0,0.0
