seed,day_type,vehicle_id,current_zone,status,busy_until,destination_zone,weather_scenario,policy,experiment_condition
48,workday,N9RH-workday-Z2-008,Z2,idle,0.0,,W2,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z3-001,Z1,idle,590.4403303333333,,W2,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z3-002,Z3,idle,0.0,,W2,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z3-003,Z3,idle,0.0,,W2,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z3-004,Z3,idle,0.0,,W2,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z4-001,Z4,idle,1123.2633739999999,,W2,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z4-002,Z2,idle,500.00680400000005,,W2,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z4-003,Z4,idle,1160.0663663333332,,W2,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z4-004,Z2,idle,507.7851913333334,,W2,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z5-001,Z5,idle,1367.777785,,W2,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z5-002,Z5,idle,1175.395979,,W2,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z5-003,Z5,idle,590.664064,,W2,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z5-004,Z5,idle,0.0,,W2,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z6-001,Z6,idle,1194.100426,,W2,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z6-002,Z6,idle,1127.1877989999998,,W2,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z6-003,Z6,idle,1141.246611,,W2,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z6-004,Z6,idle,0.0,,W2,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z7-001,Z5,idle,1218.169155,,W2,P0_no_policy,P0_baseline
48,workday,N9RH-workday-Z7-002,Z7,idle,0.0,,W2,P0_no_policy,P0_baseline
