day_type,vehicle_id,current_zone,status,busy_until,destination_zone,weather_scenario,policy,experiment_condition
workday,N9RH-workday-Z8-004,Z2,idle,498.32735700000006,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z8-005,Z2,idle,531.8473633333333,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z8-006,Z2,idle,561.21403,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z8-007,Z2,idle,599.127279,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z8-008,Z8,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z8-009,Z8,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z8-010,Z8,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z8-011,Z8,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z8-012,Z8,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z8-013,Z8,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z8-014,Z8,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z8-015,Z8,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z8-016,Z8,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z8-017,Z8,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z8-018,Z8,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z8-019,Z8,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility_1000
workday,N9RH-workday-Z8-020,Z8,idle,0.0,,W2,C4_public_goods,API_interdependent_city_mobility_1000
