agent_id,day_type,age_group,digital_access,family_assistance,nondigital_unassisted,coupon_policy,coupon_eligible,coupon_reached,coupon_participated,coupon_awarded,public_coupon_participated,elder_reserve_reached,coupon_pool_type,coupon_allocation_rank,coupon_access_channel,public_participation_probability,public_participation_draw,public_dispatch_rank,elder_reserve_rank,community_phone_covered,community_phone_coverage_draw,pg_official_parent_agent_class,pg_adapter_agent_class,pg_num_rounds,pg_initial_endowment,pg_public_pool_multiplier,pg_round_contributions,pg_final_contribution,pg_total_contribution,pg_cumulative_payoff,pg_need_score,pg_cooperation_score,pg_priority_score,pg_peer_feedback_source_count,pg_peer_signal_round_2,pg_peer_signal_round_3,pg_linked_decision,pg_physical_coupon_pool,pg_coupons_created_by_multiplier,pg_allocation_reason,pg_api_round_one_called,pg_api_round_one_succeeded,pg_api_contribution_tokens,pg_api_response_source
544,workday,40-59,True,False,False,C4_public_goods,True,True,True,False,True,False,,,digital_self,0.65,0.09373279846008059,0.7662331709234226,,False,0.06627321463022232,agentsociety2.contrib.agent.PublicGoodsAgent,integrations.agentsociety.coupon_public_goods_agent.CouponPublicGoodsAgent,3,20,1.6,12|14|14,14,40,84.725402,0.25,0.666667,0.395833,621,0.807484,0.848473,True,200,0,below_priority_cutoff,True,True,12,live_api
545,workday,40-59,True,False,False,C4_public_goods,True,True,False,False,False,False,,,digital_self,0.65,0.7298810748426996,,,False,0.7152861982439582,agentsociety2.contrib.agent.PublicGoodsAgent,integrations.agentsociety.coupon_public_goods_agent.CouponPublicGoodsAgent,3,20,1.6,,0,0,0,0.0,0.0,0.0,0,,,False,200,0,did_not_participate,False,False,,not_selected_test_only
546,workday,40-59,True,False,False,C4_public_goods,True,True,False,False,False,False,,,digital_self,0.65,0.6708814313898221,,,False,0.7391618123456032,agentsociety2.contrib.agent.PublicGoodsAgent,integrations.agentsociety.coupon_public_goods_agent.CouponPublicGoodsAgent,3,20,1.6,,0,0,0,0.0,0.0,0.0,0,,,False,200,0,did_not_participate,False,False,,not_selected_test_only
547,workday,40-59,True,False,False,C4_public_goods,True,True,True,False,True,False,,,digital_self,0.65,0.23686919749343052,0.9185746514811459,,False,0.9157281299598783,agentsociety2.contrib.agent.PublicGoodsAgent,integrations.agentsociety.coupon_public_goods_agent.CouponPublicGoodsAgent,3,20,1.6,12|14|14,14,40,84.725402,0.25,0.666667,0.395833,621,0.807484,0.848473,True,200,0,below_priority_cutoff,True,True,12,live_api
548,workday,40-59,True,False,False,C4_public_goods,True,True,True,True,True,False,public_goods,166,digital_self,0.65,0.33323390431837946,0.33067463014756565,,False,0.8174010240204108,agentsociety2.contrib.agent.PublicGoodsAgent,integrations.agentsociety.coupon_public_goods_agent.CouponPublicGoodsAgent,3,20,1.6,12|14|14,14,40,84.725402,0.25,0.666667,0.395833,621,0.807484,0.848473,True,200,0,need_and_cooperation_priority,True,True,12,live_api
549,workday,40-59,True,False,False,C4_public_goods,True,True,True,False,True,False,,,digital_self,0.65,0.04710678798447291,0.6670697760753276,,False,0.6871556580102124,agentsociety2.contrib.agent.PublicGoodsAgent,integrations.agentsociety.coupon_public_goods_agent.CouponPublicGoodsAgent,3,20,1.6,12|14|14,14,40,84.725402,0.25,0.666667,0.395833,621,0.807484,0.848473,True,200,0,below_priority_cutoff,True,True,12,live_api
550,workday,40-59,True,False,False,C4_public_goods,True,True,True,False,True,False,,,digital_self,0.65,0.20744718598991826,0.8495194094368564,,False,0.13227095274387257,agentsociety2.contrib.agent.PublicGoodsAgent,integrations.agentsociety.coupon_public_goods_agent.CouponPublicGoodsAgent,3,20,1.6,12|14|14,14,40,84.725402,0.25,0.666667,0.395833,621,0.807484,0.848473,True,200,0,below_priority_cutoff,True,True,12,live_api
551,workday,40-59,True,False,False,C4_public_goods,True,True,False,False,False,False,,,digital_self,0.65,0.7710731965993979,,,False,0.5071071432269563,agentsociety2.contrib.agent.PublicGoodsAgent,integrations.agentsociety.coupon_public_goods_agent.CouponPublicGoodsAgent,3,20,1.6,,0,0,0,0.0,0.0,0.0,0,,,False,200,0,did_not_participate,False,False,,not_selected_test_only
552,workday,40-59,True,False,False,C4_public_goods,True,True,True,True,True,False,public_goods,173,digital_self,0.65,0.6418881637047827,0.36733503900960196,,False,0.962980000212572,agentsociety2.contrib.agent.PublicGoodsAgent,integrations.agentsociety.coupon_public_goods_agent.CouponPublicGoodsAgent,3,20,1.6,12|14|14,14,40,84.725402,0.25,0.666667,0.395833,621,0.807484,0.848473,True,200,0,need_and_cooperation_priority,True,True,12,live_api
553,workday,40-59,True,False,False,C4_public_goods,True,True,False,False,False,False,,,digital_self,0.65,0.6999740384028197,,,False,0.4001359574810228,agentsociety2.contrib.agent.PublicGoodsAgent,integrations.agentsociety.coupon_public_goods_agent.CouponPublicGoodsAgent,3,20,1.6,,0,0,0,0.0,0.0,0.0,0,,,False,200,0,did_not_participate,False,False,,not_selected_test_only
