policy,baseline_policy,weather_scenario,metric,baseline_mean,policy_mean,absolute_change,percent_change,percent_change_defined,undefined_reason,baseline_access_group
D1_targeted_digital_training_75pct,D0_baseline,W2,total_outdoor_exposure_minutes,83.212556,83.212556,0.0,0.0,True,,elder_baseline_nondigital_unassisted
D1_targeted_digital_training_75pct,D0_baseline,W2,completed_necessary_activities,0.444444,0.444444,0.0,0.0,True,,elder_baseline_nondigital_unassisted
D1_targeted_digital_training_75pct,D0_baseline,W2,necessary_activity_completion_rate,1.0,1.0,0.0,0.0,True,,elder_baseline_nondigital_unassisted
D1_targeted_digital_training_75pct,D0_baseline,W2,ride_hailing_requests,0.0,0.0,0.0,,False,baseline_zero,elder_baseline_nondigital_unassisted
D1_targeted_digital_training_75pct,D0_baseline,W2,mean_total_travel_time,59.329296,59.329296,0.0,0.0,True,,elder_baseline_nondigital_unassisted
D1_targeted_digital_training_75pct,D0_baseline,W2,failed_ride_hailing_requests,0.0,0.0,0.0,,False,baseline_zero,elder_baseline_nondigital_unassisted
D1_targeted_digital_training_75pct,D0_baseline,W2,ride_hailing_legs,0.0,0.0,0.0,,False,baseline_zero,elder_baseline_nondigital_unassisted
D1_targeted_digital_training_75pct,D0_baseline,W2,walking_legs,0.0,0.0,0.0,,False,baseline_zero,elder_baseline_nondigital_unassisted
D1_targeted_digital_training_75pct,D0_baseline,W2,policy_assisted_agent_count,0.0,0.0,0.0,,False,baseline_zero,elder_baseline_nondigital_unassisted
D1_targeted_digital_training_75pct,D0_baseline,W2,successful_ride_hailing_requests,0.0,0.0,0.0,,False,baseline_zero,elder_baseline_nondigital_unassisted
D1_targeted_digital_training_75pct,D0_baseline,W2,policy_proxy_agent_count,0.0,0.0,0.0,,False,baseline_zero,elder_baseline_nondigital_unassisted
D1_targeted_digital_training_75pct,D0_baseline,W2,policy_digital_agent_count,0.0,1.444444,1.444444,,False,baseline_zero,elder_baseline_nondigital_unassisted
D1_targeted_digital_training_75pct,D0_baseline,W2,metro_legs,1.333333,1.333333,0.0,0.0,True,,elder_baseline_nondigital_unassisted
D1_targeted_digital_training_75pct,D0_baseline,W2,mandatory_activity_incomplete,0.0,0.0,0.0,,False,baseline_zero,elder_baseline_nondigital_unassisted
D1_targeted_digital_training_75pct,D0_baseline,W2,total_heat_risk_burden,0.0,0.0,0.0,,False,baseline_zero,elder_baseline_nondigital_unassisted
D1_targeted_digital_training_75pct,D0_baseline,W2,planned_necessary_activities,0.444444,0.444444,0.0,0.0,True,,elder_baseline_nondigital_unassisted
D1_targeted_digital_training_75pct,D0_baseline,W2,fallback_attempts,0.0,0.0,0.0,,False,baseline_zero,elder_baseline_nondigital_unassisted
D2_family_assistance_90pct,D0_baseline,W0,transport_unmet,0.0,0.0,0.0,,False,baseline_zero,18-39
D2_family_assistance_90pct,D0_baseline,W0,bus_legs,17.3,17.3,0.0,0.0,True,,18-39
D2_family_assistance_90pct,D0_baseline,W0,total_outdoor_exposure_minutes,983.5255,983.5255,0.0,0.0,True,,18-39
D2_family_assistance_90pct,D0_baseline,W0,completed_necessary_activities,17.5,17.5,0.0,0.0,True,,18-39
D2_family_assistance_90pct,D0_baseline,W0,necessary_activity_completion_rate,0.972222,0.972222,0.0,0.0,True,,18-39
D2_family_assistance_90pct,D0_baseline,W0,ride_hailing_requests,4.1,4.1,0.0,0.0,True,,18-39
D2_family_assistance_90pct,D0_baseline,W0,mean_total_travel_time,61.579419,61.579419,0.0,0.0,True,,18-39
D2_family_assistance_90pct,D0_baseline,W0,failed_ride_hailing_requests,0.1,0.1,0.0,0.0,True,,18-39
