seed,weather_scenario,leg_id,agent_id,age_group,group,shared_request,p0_succeeded,p4_succeeded,benefited_failure_to_success,harmed_success_to_failure,pickup_wait_change_minutes,wait_improved,wait_worsened,base_dispatch_priority_identical
53,W0,12-2026-07-07-L01,12,18-39,18-39,True,True,True,False,False,0.0,False,False,True
53,W0,13-2026-07-07-L02,13,18-39,18-39,True,True,True,False,False,0.0,False,False,True
53,W0,16-2026-07-07-L01,16,18-39,18-39,True,False,False,False,False,0.0,False,False,True
53,W0,16-2026-07-07-L02,16,18-39,18-39,True,True,True,False,False,0.0,False,False,True
53,W0,22-2026-07-07-L01,22,40-59,40-59,True,True,True,False,False,0.0,False,False,True
53,W0,28-2026-07-07-L02,28,40-59,40-59,True,True,True,False,False,0.0,False,False,True
53,W0,32-2026-07-07-L01,32,40-59,40-59,True,True,True,False,False,0.0,False,False,True
53,W0,33-2026-07-07-L01,33,40-59,40-59,True,False,False,False,False,0.0,False,False,True
53,W0,34-2026-07-07-L01,34,40-59,40-59,True,True,True,False,False,0.0,False,False,True
53,W0,9-2026-07-07-L01,9,18-39,18-39,True,True,True,False,False,0.0,False,False,True
53,W0,9-2026-07-07-L02,9,18-39,18-39,True,True,True,False,False,0.0,False,False,True
53,W2,1-2026-07-07-L02,1,18-39,18-39,True,False,False,False,False,0.0,False,False,True
53,W2,12-2026-07-07-L01,12,18-39,18-39,True,True,True,False,False,0.0,False,False,True
53,W2,13-2026-07-07-L02,13,18-39,18-39,True,True,True,False,False,0.0,False,False,True
53,W2,15-2026-07-07-L01,15,18-39,18-39,True,True,True,False,False,0.0,False,False,True
53,W2,16-2026-07-07-L01,16,18-39,18-39,True,False,False,False,False,0.0,False,False,True
53,W2,16-2026-07-07-L02,16,18-39,18-39,True,False,False,False,False,0.0,False,False,True
53,W2,17-2026-07-07-L01,17,18-39,18-39,True,True,True,False,False,0.0,False,False,True
53,W2,17-2026-07-07-L02,17,18-39,18-39,True,True,True,False,False,0.0,False,False,True
53,W2,22-2026-07-07-L01,22,40-59,40-59,True,True,True,False,False,0.0,False,False,True
53,W2,28-2026-07-07-L02,28,40-59,40-59,True,True,True,False,False,0.0,False,False,True
53,W2,32-2026-07-07-L01,32,40-59,40-59,True,True,True,False,False,0.0,False,False,True
53,W2,32-2026-07-07-L02,32,40-59,40-59,True,True,True,False,False,0.0,False,False,True
53,W2,33-2026-07-07-L01,33,40-59,40-59,True,False,False,False,False,0.0,False,False,True
53,W2,33-2026-07-07-L02,33,40-59,40-59,True,True,True,False,False,0.0,False,False,True
53,W2,34-2026-07-07-L01,34,40-59,40-59,True,True,True,False,False,0.0,False,False,True
53,W2,37-2026-07-07-L01,37,40-59,40-59,True,True,True,False,False,0.0,False,False,True
53,W2,9-2026-07-07-L01,9,18-39,18-39,True,False,False,False,False,0.0,False,False,True
53,W2,9-2026-07-07-L02,9,18-39,18-39,True,False,False,False,False,0.0,False,False,True
54,W0,10-2026-07-07-L03,10,18-39,18-39,True,True,True,False,False,0.0,False,False,True
54,W0,11-2026-07-07-L02,11,18-39,18-39,True,True,True,False,False,0.0,False,False,True
54,W0,28-2026-07-07-L02,28,40-59,40-59,True,True,True,False,False,0.0,False,False,True
54,W0,29-2026-07-07-L02,29,40-59,40-59,True,True,True,False,False,0.0,False,False,True
54,W0,5-2026-07-07-L03,5,18-39,18-39,True,True,True,False,False,0.0,False,False,True
54,W2,10-2026-07-07-L01,10,18-39,18-39,True,True,True,False,False,0.0,False,False,True
54,W2,10-2026-07-07-L03,10,18-39,18-39,True,False,False,False,False,0.0,False,False,True
54,W2,11-2026-07-07-L02,11,18-39,18-39,True,True,True,False,False,0.0,False,False,True
54,W2,12-2026-07-07-L01,12,18-39,18-39,True,True,True,False,False,0.0,False,False,True
54,W2,22-2026-07-07-L01,22,40-59,40-59,True,True,True,False,False,0.0,False,False,True
54,W2,28-2026-07-07-L01,28,40-59,40-59,True,True,True,False,False,0.0,False,False,True
54,W2,28-2026-07-07-L02,28,40-59,40-59,True,True,True,False,False,0.0,False,False,True
54,W2,29-2026-07-07-L02,29,40-59,40-59,True,True,True,False,False,0.0,False,False,True
54,W2,36-2026-07-07-L01,36,40-59,40-59,True,True,True,False,False,0.0,False,False,True
54,W2,5-2026-07-07-L01,5,18-39,18-39,True,True,True,False,False,0.0,False,False,True
54,W2,5-2026-07-07-L03,5,18-39,18-39,True,True,True,False,False,0.0,False,False,True
54,W2,9-2026-07-07-L01,9,18-39,18-39,True,True,True,False,False,0.0,False,False,True
54,W2,9-2026-07-07-L02,9,18-39,18-39,True,True,True,False,False,0.0,False,False,True
