policy,baseline_policy,weather_scenario,group,metric,baseline_mean,policy_mean,absolute_change,percent_change,percent_change_defined,undefined_reason
P4_elder_priority,P0_first_come,W2,elder_digital,ride_hailing_success_rate,1.0,1.0,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,elder_digital,mean_ride_hailing_wait_minutes_per_request,1.1,1.1,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,elder_digital,fallback_attempts,0.0,0.0,0.0,,False,baseline_zero
P4_elder_priority,P0_first_come,W2,elder_digital,transport_unmet,0.0,0.0,0.0,,False,baseline_zero
P4_elder_priority,P0_first_come,W2,elder_digital,planned_necessary_activities,1.7,1.7,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,elder_digital,completed_necessary_activities,1.7,1.7,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,elder_digital,necessary_activity_completion_rate,1.0,1.0,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,elder_digital,walking_legs,0.0,0.0,0.0,,False,baseline_zero
P4_elder_priority,P0_first_come,W2,elder_digital,bus_legs,7.3,7.3,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,elder_digital,metro_legs,1.7,1.7,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,elder_digital,ride_hailing_legs,0.1,0.1,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,elder_digital,mean_total_travel_time,63.057092,63.057092,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,elder_digital,total_outdoor_exposure_minutes,175.1337,175.1337,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,elder_digital,total_heat_risk_burden,0.0,0.0,0.0,,False,baseline_zero
P4_elder_priority,P0_first_come,W2,elder_nondigital_assisted,ride_hailing_requests,0.0,0.0,0.0,,False,baseline_zero
P4_elder_priority,P0_first_come,W2,elder_nondigital_assisted,successful_ride_hailing_requests,0.0,0.0,0.0,,False,baseline_zero
P4_elder_priority,P0_first_come,W2,elder_nondigital_assisted,failed_ride_hailing_requests,0.0,0.0,0.0,,False,baseline_zero
P4_elder_priority,P0_first_come,W2,elder_nondigital_assisted,mean_ride_hailing_wait_minutes_per_request,0.0,0.0,0.0,,False,baseline_zero
