policy,weather_scenario,group,metric,mean,ci95_half_width,seed_count
C3_mixed,W1,18-39,total_heat_risk_burden,20671.437351,577.787739,10
C3_mixed,W1,40-59,necessary_activity_completion_rate,0.969528,0.015521,10
C3_mixed,W1,40-59,ride_hailing_requests,6.900000,2.117921,10
C3_mixed,W1,40-59,failed_ride_hailing_requests,0.100000,0.226200,10
C3_mixed,W1,40-59,coupon_redeemed,1.300000,0.895325,10
C3_mixed,W1,40-59,total_heat_risk_burden,17625.686210,374.891829,10
C3_mixed,W1,60+_digital,necessary_activity_completion_rate,1.000000,0.000000,10
C3_mixed,W1,60+_digital,ride_hailing_requests,0.800000,0.452400,10
C3_mixed,W1,60+_digital,failed_ride_hailing_requests,0.000000,0.000000,10
C3_mixed,W1,60+_digital,coupon_redeemed,0.300000,0.345526,10
C3_mixed,W1,60+_digital,total_heat_risk_burden,8828.417866,1565.323931,10
C3_mixed,W1,60+_nondigital_assisted,necessary_activity_completion_rate,1.000000,0.000000,10
C3_mixed,W1,60+_nondigital_assisted,ride_hailing_requests,0.400000,0.369383,10
C3_mixed,W1,60+_nondigital_assisted,failed_ride_hailing_requests,0.000000,0.000000,10
C3_mixed,W1,60+_nondigital_assisted,coupon_redeemed,0.200000,0.301600,10
C3_mixed,W1,60+_nondigital_assisted,total_heat_risk_burden,6591.642070,1213.145890,10
C3_mixed,W1,60+_nondigital_unassisted,necessary_activity_completion_rate,1.000000,0.000000,10
C3_mixed,W1,60+_nondigital_unassisted,ride_hailing_requests,0.200000,0.301600,10
C3_mixed,W1,60+_nondigital_unassisted,failed_ride_hailing_requests,0.000000,0.000000,10
C3_mixed,W1,60+_nondigital_unassisted,coupon_redeemed,0.200000,0.301600,10
C3_mixed,W1,60+_nondigital_unassisted,total_heat_risk_burden,3067.468690,645.984957,10
C3_mixed,W2,18-39,necessary_activity_completion_rate,0.968453,0.014060,10
C3_mixed,W2,18-39,ride_hailing_requests,41.300000,4.384236,10
C3_mixed,W2,18-39,failed_ride_hailing_requests,0.800000,0.738766,10
C3_mixed,W2,18-39,coupon_redeemed,7.400000,1.128484,10
C3_mixed,W2,18-39,total_heat_risk_burden,0.000000,0.000000,10
C3_mixed,W2,40-59,necessary_activity_completion_rate,0.966250,0.021333,10
C3_mixed,W2,40-59,ride_hailing_requests,20.400000,2.845289,10
C3_mixed,W2,40-59,failed_ride_hailing_requests,0.500000,0.377000,10
C3_mixed,W2,40-59,coupon_redeemed,3.500000,1.079564,10
C3_mixed,W2,40-59,total_heat_risk_burden,0.000000,0.000000,10
C3_mixed,W2,60+_digital,necessary_activity_completion_rate,1.000000,0.000000,10
C3_mixed,W2,60+_digital,ride_hailing_requests,0.500000,0.377000,10
C3_mixed,W2,60+_digital,failed_ride_hailing_requests,0.000000,0.000000,10
C3_mixed,W2,60+_digital,coupon_redeemed,0.300000,0.345526,10
C3_mixed,W2,60+_digital,total_heat_risk_burden,0.000000,0.000000,10
C3_mixed,W2,60+_nondigital_assisted,necessary_activity_completion_rate,0.980000,0.045240,10
C3_mixed,W2,60+_nondigital_assisted,ride_hailing_requests,0.400000,0.369383,10
C3_mixed,W2,60+_nondigital_assisted,failed_ride_hailing_requests,0.000000,0.000000,10
C3_mixed,W2,60+_nondigital_assisted,coupon_redeemed,0.300000,0.345526,10
C3_mixed,W2,60+_nondigital_assisted,total_heat_risk_burden,0.000000,0.000000,10
C3_mixed,W2,60+_nondigital_unassisted,necessary_activity_completion_rate,0.950000,0.113100,10
C3_mixed,W2,60+_nondigital_unassisted,ride_hailing_requests,0.200000,0.452400,10
C3_mixed,W2,60+_nondigital_unassisted,failed_ride_hailing_requests,0.000000,0.000000,10
C3_mixed,W2,60+_nondigital_unassisted,coupon_redeemed,0.200000,0.452400,10
C3_mixed,W2,60+_nondigital_unassisted,total_heat_risk_burden,0.000000,0.000000,10
